file,kernel,warmth,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Shmem dynamic,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Occ [%],77.25,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Theo Occ [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Block Size,256,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Grid Size,"1,800",
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Waves/SM,1.70,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Warps active,"66,805,838",warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Warps/cyc active,49.44,warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Warps launched,"14,400",warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Act Thr/Warp,32,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Warp Cyc/Inst,20.94,cycle
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Elig Warps/Sched,4.69,warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,No Eligible [%],39.42,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Coal ld [%],74.00,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Coal st [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Sec/req ld,2.40,sector
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Sec/req st,2.00,sector
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Total duration [us],112.37,
